"Series_A","Series_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","sum_sims"
"VL05269","VL05289","1","Q",61,0.13173342,0.50060623,1.02937349,4.44188518,0.73333333,0.06666667,0.0003005976,1.678128078
"VL05271","SPR0002","1","3",70,0.55270998,0.51895786,5.50911796,5.00636061,0.71014493,0.02898551,0.0004808746,1.729738851
"VL05271","VL05289","1","Q",75,0.59974104,0.53514167,6.44739471,5.41247202,0.74324324,0,2.85273e-05,1.819632112
"VL05271","VL05289","1","1",75,0.59974104,0.53514167,6.44739471,5.41247202,0.74324324,0,2.85273e-05,1.819632112
"VL05271","VL05292","1","1",74,0.82065133,0.64553383,12.27036952,7.17206884,0.73972603,0.02739726,4.19552e-05,2.102466744
"VL05271","ZWS6QT10","1","R",75,0.26103866,0.57074104,2.32619236,5.93866122,0.7027027,0.01351351,0.0004876881,1.867309862
"VL05288","VL05289","1","Q",80,0.41002794,0.58736712,3.99574183,6.40967971,0.7721519,0.02531646,1.3123e-06,2.000486991
"VL05288","VL05289","1","1",80,0.41002794,0.58736712,3.99574183,6.40967971,0.7721519,0.02531646,1.3123e-06,2.000486991
"VL05289","DIFO054","Q","1",58,0.48953505,0.51380244,4.23850684,4.48176608,0.70175439,0.01754386,0.0023158069,1.663733438
"VL05289","DIFO054","1","1",58,0.48953505,0.51380244,4.23850684,4.48176608,0.70175439,0.01754386,0.0023158069,1.663733438
"VL05289","VL00373","Q","1",51,0.51678245,0.61153791,4.26834745,5.41036836,0.72,0,0.0018628463,1.872574746
"VL05289","VL00373","1","1",51,0.51678245,0.61153791,4.26834745,5.41036836,0.72,0,0.0018628463,1.872574746
"VL05289","VL05269","Q","1",61,0.13173342,0.50060623,1.02937349,4.44188518,0.73333333,0.06666667,0.0003005976,1.678128078
"VL05289","VL05269","1","1",61,0.13173342,0.50060623,1.02937349,4.44188518,0.73333333,0.06666667,0.0003005976,1.678128078
"VL05289","VL05271","Q","1",75,0.59974104,0.53514167,6.44739471,5.41247202,0.74324324,0,2.85273e-05,1.819632112
"VL05289","VL05271","1","1",75,0.59974104,0.53514167,6.44739471,5.41247202,0.74324324,0,2.85273e-05,1.819632112
"VL05289","VL05288","Q","1",80,0.41002794,0.58736712,3.99574183,6.40967971,0.7721519,0.02531646,1.3123e-06,2.000486991
"VL05289","VL05288","1","1",80,0.41002794,0.58736712,3.99574183,6.40967971,0.7721519,0.02531646,1.3123e-06,2.000486991
"VL05289","ZWS4017","1","1",72,0.5397635,0.5340509,5.40275337,5.28497019,0.71830986,0.01408451,0.000234129,1.780857779
"VL05289","ZWS4017","Q","1",72,0.5397635,0.5340509,5.40275337,5.28497019,0.71830986,0.01408451,0.000234129,1.780857779
"VL05291","FLEV129","1","T",54,0.57445811,0.57502659,5.10927863,5.06832876,0.71698113,0.03773585,0.0015815242,1.798840596
"VL05291","TROY137","1","T",55,0.10289253,0.55437153,0.76013706,4.84925449,0.7037037,0.01851852,0.0027550771,1.743000679
"VL05291","VL05292","1","1",74,0.87525797,0.61182315,15.46181941,6.56324534,0.7260274,0.04109589,0.0001122979,1.994175084
"VL05291","VL05293","1","1",73,0.78220578,0.50926616,10.65332474,4.98618138,0.73611111,0,6.15109e-05,1.743995408
"VL05292","DIFO054","1","1",58,0.09024876,0.54805104,0.68415507,4.90317825,0.73684211,0.05263158,0.0003485752,1.775210975
